Name,Tier,Class,Type,EXP Cost,Steam Cost,Aether Cost,Prerequisites,Multi Purchase,Description
Warg,Races,,,,,,,,"Costuming: Shifted: Hybrid costume wolf/bear and both shifted and unshifted gain 3 silver scar lines from both eyes. ● Neutral Presence: You gain Speak with Nature and Divine Neutrality: Nature if you didn’t already have them. If you do already have Divine Neutrality: Nature, then it becomes Greater. Additionally, you may RP for 5 seconds with a shifted lycanthrope to cause your choice of either Greater Charm or Greater Pacify on them for 1 minute. If you choose Pacify, then their Moonkin Rampage effect is suppressed for the duration (they do not gain control, they only cease Rampaging as if they had 19 or less Vaea). This counts as a Mind effect and may be defended against as such. ● Warg’s Den: The unshifted Warg feels familiarity in the wild and remembers its favorite hiding places during the full moon. At the start of each event, you may designate up to 2 locations as your “Dens.” The den covers a 20-foot circle around the point you chose or conforms to the size and dimensions of a chosen room, small structure, or tent. While in your den and not in combat, you heal 5 Vaea and 2 Steam per minute. If you regenerate for 5 minutes straight, you are cured of most negative status effects (including permanent effects), only excluding effects at Plot discretion. This healing may be used in either form. ● Thorn Circle: Once per event, you can spend 15 minutes summoning a wall of wicked thorns blocking the area you choose. This ability follows all the same rules as Ritual of Warding, except for the following changes: - It costs no pool or components to use. It is limited only by its uses per event. - If one of your Warg’s Dens is an open area outside, you may cast the ritual there so that the thorns fully encircle the area. - Instead of a password, choose up to 4 other characters present at the start of the casting that you can see. You and the chosen characters may pass through the thorn ward safely for as long as it lasts. Include the list of characters on the Area Notes that you are using. Click For Table of Contents"
Dreadbourne,Races,,,,,,,,"Costuming: 3 red scar lines from both eyes while shifted and unshifted, while shifted bloody mess on mask, red claws. ● The Beast Unleashed: When shifted, you gain +2 Strength, +2 Weapon Damage, +6 Soak, +10 healable Vaea and +5 healable Steam, and are immune to Mind effects. Additionally, once per event, you may shift yourself instantly for up to 1 hour and gain immunity to Greater Mind effects. The time it takes to do so is equal to the time it takes to change costuming. ● Blood Call: Once per event, the unshifted Dreadbourne calls upon the feral heart within every unshifted lycanthrope. This call forcibly changes all unshifted lycanthropes within Line of Effect, including themselves regardless of the full moon. All shifted lycanthropes gain immunity to Mind effects, +2 Strength, +2 Melee Weapon Damage, +3 Soak, +20 healable Vaea, and a Steam Efficiency. The shift lasts 30 minutes, once the shift ends (regardless of how it is ended) the benefits of this ability also end. ● Void Strike: Once per period, the Dreadbourne can harness the power of their ancestors. You can change the damage type of your physical attacks to “Void” for the next 10 strikes. Void does Direct Bane to all creatures native to Rowanon. Also, at any time, if you deal damage with an Epic attack, you may change the damage type of that attack to Void."
Ekidna,Races,,,,,,,,Costuming: Green venom/acid on or around your lips and dripping from your mouth. Click For Table of Contents
Gorgon,Races,,,,,,,,"Costuming: Green makeup around eyes. ● Intimidation of the Serpent - Whenever you cast a spell, you may spend +3 Aether to add Charm, Fear, or Terror to the spell’s effects. The duration of the effect that you cause this way is equal to the duration of the spell. If the spell has no duration, the effect lasts for 1 minute instead. ● Gorgon’s Gaze - When you cast a spell that causes Stun, Constrict, or Imprisonment, you may choose to replace that condition with Paralysis instead. The Paralysis lasts for as long as the original effect would have lasted. ● Curse of the Gorgon - Once per Event, you may spend 20 seconds staring into the eyes of a character who is Paralyzed and not Blind from at most five feet away and call “Curse of the Gorgon” to begin to turn them to stone. This attack counts as a Curse and can only be defended against and cured as one. The target’s total Armor Rating and Soak are reduced by 10 as they turn to brittle stone and they suffer Hamstring and Slowness as their bodies begin to lock up, all for the duration of the curse. If the curse is not removed within 24 hours, the target becomes fully petrified, immediately dies, and returns through the Vaean Archway if able. The curse becomes cured when the target dies, whether from the curse itself or from something else killing them. The stone statue of the dead target usually turns to rubble when the target returns through the Archway, but with Plot’s approval it can persist. Any items the target had on them are unaffected and can be looted from the statue or rubble without needing to search."
Naga,Races,,,,,,,,". ● Crushing Strength - You gain +2 Strength. Additionally, you can spend +3 Steam to augment any melee attack you make with Speed. ● Python’s Grip - Once per period, you may invoke this attack against a character who is Constricted or Paralyzed by standing within five feet of them and pointing at them while calling this skill. You may do this even if you are currently maintaining the Constrict or Paralyze effect on the target. For every 5 seconds you maintain contact and the character remains Constricted or Paralyzed, you may choose to inflict them with either one Break Limb effect on the limb of your choice or one item that they are holding or wearing of your choice suffers a Sunder 3 attack. ● Swallow Whole - Once per Event, you may spend 15 seconds role-play swallowing whole a character that is Paralyzed, Incapacitated, in their Death Count, or willing. The player should go Out-of-Game and follow you while their character remains in your stomach. The target suffers Epic Paralysis while they are inside you and may remain inside for up to 5 minutes or until you choose to let them out, you enter your Death Count, or the target manages to end the Epic Paralysis, at which point you regurgitate them instantly. If the target dies while inside you, you heal full Vaea, Steam, and Aether and the target may return through the Vaean Archway if able. You regurgitate all of the dead target’s items whenever you would have regurgitated the target themself."
Celestial,Races,,,,,,,,"Only those of the appropriate lineage may become a Celestial planar. Costuming: White, red, or black angelic wings, runic markings on face of the same color, and an illuminated halo of light, with a color based upon the lineage. ● Soul Cleanse - Once per event, you may spend 5 minutes drawing forth your soul’s own divinity to restore you. When finished, you may end one of the following effects of your choice on yourself: Bleeding Wound, one Broken Limb, one Severed Limb, one Humor, one addiction (except for Gift of Obsession), one Curse/Hex, one hour of Erased Memory, or any one temporary effect. This ability cannot be interrupted unless you are put into your Death Count and can be maintained even while in combat. This ability represents the power of your soul coming forth to aid you, and as such can be used while suffering from anything, including effects where your body or mind normally couldn’t use abilities, such as Imprisonment, Incapacitation, Domination, being a drudge or having your character card “replaced,” or even while made helpless within a void nightmare. The only time this ability cannot be used is if you are in your Death Count. ● Divine Blessing - When you are struck by a damaging spell whose damage type is the same as your lineage’s Affinity, you may instead choose to either heal Vaea for that much damage or heal 1 Steam or Aether. Additionally, if your lineage is either Ice or Lightning, you may use Ice, Lightning, and Storm as your lineage for planar abilities that do not grant Affinity levels. ● Eternal Power - At the beginning of each period, choose one of the following options: Click For Table of Contents"
Abyssal,Races,,,,,,,,"Only those of the appropriate lineage may become an Abyssal planar. Costuming: Demonic horns, demonic tail, demonic wings, and red or black tribal face markings or full makeup on face. ● The Hunger - Talent (To Use: 1 Minute). Role-play with another character about an addiction you are suffering from, and then call “The Hunger. Mind effect.” If the target doesn’t defend against it, then they gain the addiction you spoke to them about until cured. If it was your Gift of Obsession, the target instead gains it for the rest of the period and you count as having sated that addiction this period. If it was a temporary addiction, you are cured of it and the target gains it, starting from the earliest withdrawal penalty. You can only cure yourself of a temporary addiction this way once per event. ● Shadowspike - You may change the damage type of any damage you deal to that of your lineage’s Affinity. Additionally, you deal +3 damage with all attacks delivered to a target’s back, physical or magical. If it’s night (6pm-6am), you also have an Efficiency with all powers delivered to a target’s back. ● Darkness Tongue - You may augment the Lie feat with Greater for no additional cost."
Draconic,Races,,,,,,,,"Only those of the appropriate lineage may become a Draconic planar. Costuming: Dragon-like makeup or mask (scales) in a cool color (blue, green, purple, or white), draconic wings in the same color, and either a blue glow or illuminated halo of blue light. You may also choose to wear horns if you wish. ● Eye of the Nexus - You and any characters of your choice within a Wave area of you gain two Spell Proficiencies and two Healing Proficiencies. This aura only ends if you are Incapacitated or in your Death Count. ● Dragon Breath - Spell (To Use: 6 Aether). Choose an Affinity that you have at least 2 levels in when you cast this spell. This spell deals 15 damage of that Affinity in your choice of either single target or Lance, Arc, Cross, or Bomb area. ● Dragon’s Madness - Once per event you can invoke the Dragon’s Madness. For 15 minutes, you count as having level 5 in every Knowledge. Also for the duration, you descend into madness, speaking in riddles or other languages, writing equations, or otherwise being overwhelmed with the secrets of the universe. In this state, you are only attentive enough to use your Knowledges or cast spells and rituals."
Vernal,Races,,,,,,,,"Costuming: Gain +2 plant features. ● Overgrowth: Any skill that gives you plant components gives you x3 the amount. Additionally, you are immune to “Pin” effects. ● Regrowth: Once per weekend. When in stage 2 or 3 of your Death Count, you can end Death Count and heal full Vaea (and in stage 3 you also receive a “Life” effect). ● Rapid growth: Meditate and Rally take 1 minute less (minimum 1 minute) and will regrow Severed limbs ( 1 limb per meditate/rally). The benefit from meditate/rally and re-growing severed limbs affects you and everyone within 5 feet of you."
Autumnal,Races,,,,,,,,"Costuming: Gain +2 animal features. ● Claw Expertise: You gain long claws and +1 pugilist prof. Your claws get +1 hardness, can swing Astral or Nature, and can defend against “Surprise” as if it were normal. ● Force of Nature: Once per period, you may augment an attack or power with “Greater” for no additional cost. If the attack or power does numerical damage, that damage is now “Direct” and changed to the “Astral” or “Nature” Damage type. If the attack targets a character who is Incorporeal or Ethereal, the attack is augmented with Epic instead. ● Stampede: Once per period. All allied Poo’Kah and allied Nature creatures within line of effect swing +5 damage for 10 minutes and get 3 free use of “Trample: traverse. Any target you walk through is tripped and takes your weapon damage.” Click For Table of Contents"
Astral,Races,,,,,,,,"Costuming: Gain +2 plant or animal features, and blue or white glow. ● Ethereal Journey: Once per weekend. Can be invoked in any stage of your Death Count. Death Count is paused. Your body is made “Ethereal.” You are temporarily restored to full Vaea and may get up and continue fighting in your Ethereal form. You have Spirit Affinity level 3, Swing +1 Spirit Damage, and have 3 uses of “Invisibility: turn invisible for 1 min.” You may walk normally while invisible, but if you attack a target you become visible. This Ethereal form will end if your Vaea drops to 0 or you willingly choose to return to the mortal realm, starting your Death Count where it left off. Duration: 5 mins. ● The Poo’kah Bond: Once per weekend, you can create a circular ward of natural spirit energy. Requires at least 3 Poo’kah (that don’t have to be paragons) including you. The ward can be up to 10 feet radius, and must be phys repped with garland or markers. Any of the involved Poo’kah can control who can enter and exit. Being of a higher level than the casters does not allow access to the ward. If there are less than 3 of the involved Poo’kah in the ward, than the ward ends immediately. Anyone inside heals 1 Vaea per minute for every Poo’kah powering the Ward. In order for an outside force to forcefully end this ward, the ward-ending skill has to be used a number of times equal to the number of Poo’Kah powering this ward. ● Spirit Strikes: Your Poo’kah spirit manifests and attacks your enemies for you. You may spend +3 Pool to add “Perfect Aim” to feats from a distance."
Erudite,Races,,,,,,,,"Costuming: Blue Sjrogham letter for “E” on forehead. ● Inclination: You gain an Aether Efficiency of 1. ● Gem of Knowledge: Choose 1 knowledge skill that you know. That knowledge advances up to level 5. ● Sjrogan Channeling: You gain the “Energy Conductor” skill from Novice Arcane. If you already have this skill, you may now transfer pool at a rate of 5 per 30 seconds. When using “Energy Conductor,” choose 2 targets and draw runes on both of them. As long as they remain within 10 feet of you, and you are not interrupted, you may channel Aether and Steam between them. Additionally, you may combine the target’s Aether and steam pools together and redistribute them as you see fit between the targets with any pool granted in excess of an individual target’s total being granted as temporary pool."
Warmarked,Races,,,,,,,,"Costuming: Red Sjrogham letters for “W” on forehead. ● Determination: You gain a Steam Efficiency of 1. ● Ironheart Wallop: Once per period, Strike Target with melee weapon. Target and targets within “Arc” take Greater x4 weapon damage. Your weapon becomes “Greater Sundered” regardless of Hardness. If used with claws or fists, instead take a “Greater Break Limb” in the limb used. Call “Ironheart Wallop! Greater Arc X Damage!” ● Sjrogan Tactics: After successfully striking a target with a physical melee attack, you may spend +4 Steam and call “Sjrogan Tactics” to affect them with a second attack that cannot be blocked (call second attack). If the second attack is the same as the first, it has no additional cost. If the second attack is different, then you must still spend the attack’s base power cost."
Forgekin,Races,,,,,,,,"Costuming: Black Sjrogham letter for “F” on forehead. ● Extra Hardware: When crafting, you may replace the pool and time cost of a single augmentation with +1 equal-rarity component. ● Lava Forged: You can craft any item and use any talent without a workbench. Once per event, if you use a workbench to craft an item, it takes 3 minutes less per tier, to a minimum of 0/instant. Finally, once per event you may augment all damage you deal with “Forge” for 30 minutes. ● Forge Master: Choose 1 crafting bundle of Master tier or lower, you gain that bundle at no cost. Click For Table of Contents"
Talent: Close enough,Cultural Powers,,,,,,,,". You can expend the components to craft one dose of any alchemy concoction up to Journeyman tier, without the need for a workbench, spending pool, or knowing the crafting bundle, and ignoring the item’s normal crafting time. No augments can be applied to a concoction made this way. The concoction is made in its base delivery method (salves are only made with one dose). If the concoction is not used within 5 seconds, it is destroyed (viscids will last for 1 minute after being applied to an item).”"
Talent: Consume Flesh,Cultural Powers,,,,,,,,". After the talent’s activation time, Coup de Gras a target who is in their death count to rip off and consume some of their flesh. You recover +5 Vaea, and any excess healing becomes non-healable temporary Vaea which lasts until the end of the Period, to a maximum of +10 Vaea."
Spell: Cloistered Barrier,Cultural Powers,,,,,3,,,and this Can be invoked to reduce all incoming spell damage of the chosen damage type to the invoker by 6 (soak of 6). Duration: 15 minutes. Verbal: Ex Terra Vox astrum…
Feat: Endurance,Cultural Powers,,,,2,,,,Negate a Pain or Stun effect. This feat may be used against Surprise attacks. Does not defend against any other effects that attack may have.
Talent: Challenge,Cultural Powers,,,,,,,,"Spend 1 minute verbally challenging the target to a duel. The target must be able to understand and must willingly accept the terms of the duel. Once done and the target accepts, both of you are under a duel effect. When the duel ends, the loser is affected by a Compulsion to do what the terms of the Duel was upon loss."
Talent: Befriend Nature,Cultural Powers,,,,,,,,"Spend 15 seconds RPing to show that you’re a friend to 1 Target Nature Creature. Target Nature creature is charmed to you for 5 minutes. During this time, you can use “Speak with Creature” for Natural Creatures as if you had it except it's only on targets you’ve used Befriend Nature on."
Spell: Bane of the Goose,Cultural Powers,,,,,4,,,"Those of Porto Ganso know the power of the Goose and how to inflict it upon others. (Bolt Spell.) Target is affected with a Power Deficiency of 1, does 2 Less Physical and Spell Damage, and takes 1 more damage from Physical and Spell attacks. Duration: 1 Minute. Verbal: Ex Terra Vox astrum…"
Talent: Cultural Cooperation,Cultural Powers,,,,,,,,"Spend 1 minute RPing with another character of a different culture than you to work for you or to reach a common goal. After the RP time, the target is Charmed to you, and you both gain 1 Steam or Aether efficiency (you and the target make this choice individually) until the end of the period, you use this talent on a new target, or you are no longer in Line of Effect of each other."
Talent: Faith’s Favors,Cultural Powers,,,,,,,,"Spend at least 1 minute marking your face and the faces of up to 2 others with Deity-inspired markings (OOG makeup), while giving an inspiring speech. You and your target(s) gain +4 Numerical Spell Healing for the rest of the period."
Growing Affinity (Affinity level 2),Cultural Powers,,,,,,Newfound Affinity,,The strength of your Affinity grows. You automatically have this skill if you have level 2 Affinity. You now gain the elemental benefit when using items made with Affinity conduit materials. You also gain these powers:
[Affinity] Barrier,Cultural Powers,,,,,2,,,Latent. Can be cast on self or others. Invoke to defend against 1 attack of caster’s Affinity’s damage type from any angle.
Essence Backlash,Cultural Powers,,,,2,,,,"When struck in melee combat, this may be activated to deal your Affinity damage to your attacker equal to your Affinity level. Call “revenge X (Affinity Damage).” This skill can be purchased multiple times for different affinities."
Affinity Familiarity (Affinity level 3),Cultural Powers,,,,,,Growing Affinity,,"You are getting more used to your Affinity. You automatically have this skill if you have level 3 Affinity. When dealing your elemental damage via weapon or spell you deal +2 damage. Also, when working with Affinity conduit materials of your element, your crafting time is reduced by 1 min. This skill can be acquired up to three times for different Affinities."
Elemental Life Force (Affinity Level 4),Cultural Powers,,,,,,Affinity familiarity,,"Your Affinity has become intertwined with your soul. You automatically have this skill if you have level 4 Affinity. You now count as neutral towards elemental creatures of your Affinity type. This effect breaks if you attack the creature. Also, when using “seek Affinity” on your level 4 Affinity or “destroy Affinity” on the opposite of your level 4 Affinity, you can choose to heal full Vaea, regain 5 Aether, or regain 5 Steam. Lastly, you now take “no effect” from your Affinity damage type, but you also take “direct bane” from your opposing damage type. This skill can be acquired three times for different affinities."
Elemental Embrace (Affinity level 5),Cultural Powers,,,,,,elemental life force,,"You have fully merged with your element. You automatically have this skill if you have level 5 Affinity. You now count as an elemental of your Affinity type. This means that others can use “destroy Affinity” on you to gain 1 Affinity point or “dissect components” to gain 1 Affinity Shard or 3 Affinity Slivers, however the first time this happens you lose 1 Affinity level and no longer count as an elemental. As a benefit, you gain an efficiency when using feats or spells that deal your Affinity’s damage type, and you can always choose to deal your Affinity damage with spells and weapon strikes. Using Journeyman, Master, or Pure Affinity weapons of your Affinity now grants an additional +1 Affinity damage. Also, when affected by spells that deal your elemental damage type, you instead heal the amount dealt. You may only have Affinity level 5 in one element. Finally, you gain 1 of the following based on Affinity: Click For Table of Contents"
Escape Affinity,Cultural Powers,,,,,,Newfound Affinity,,You have decided to leave your Affinity behind. This skill removes 1 level of an Affinity that you have and must be purchased with Affinity points of the opposite element. This skill can be purchased multiple times for different Affinities.
